"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
9.997189809E1,6.045119561E1,2.226352582E1,7.098951174E0,1.450000048E0,2.330000000E2,4.077342510E0,4.045941353E0
1.009709412E2,6.045118852E1,2.226350998E1,7.611595297E0,9.300000072E-1,2.336999969E2,3.822697639E0,3.645000458E0
1.019712431E2,6.045118191E1,2.226349477E1,8.219453772E0,1.129999995E0,2.343999939E2,4.001396179E0,3.859067917E0
1.029711315E2,6.045117429E1,2.226347928E1,8.643108766E0,1.190000057E0,2.280000000E2,3.849359274E0,3.770900249E0
1.039714718E2,6.045116678E1,2.226346204E1,9.147880119E0,1.230000019E0,2.298000031E2,3.792413473E0,3.761767149E0
1.049719540E2,6.045115949E1,2.226344438E1,9.773440102E0,1.190000057E0,2.285000000E2,3.790092468E0,3.759065628E0
1.059712017E2,6.045115256E1,2.226342545E1,1.035413956E1,1.250000000E0,2.323999939E2,3.790092468E0,3.787005424E0
1.069718030E2,6.045114620E1,2.226340455E1,1.034212712E1,1.230000019E0,2.321999969E2,3.790092468E0,3.796225548E0
1.079710287E2,6.045114096E1,2.226338321E1,1.064346877E1,1.240000010E0,2.346000061E2,3.790092468E0,3.511496544E0
1.089718979E2,6.045113541E1,2.226335975E1,1.091911561E1,1.399999976E0,2.348999939E2,3.790092468E0,3.455825090E0
1.099710127E2,6.045113009E1,2.226333630E1,1.104131995E1,1.299999952E0,2.346999969E2,3.790092468E0,3.323672056E0
1.109714824E2,6.045112489E1,2.226331215E1,1.073542392E1,1.389999986E0,2.336000061E2,3.790092468E0,2.862392664E0
1.119719044E2,6.045111987E1,2.226328667E1,1.052474317E1,1.379999995E0,2.356999969E2,3.790092468E0,3.013555050E0
1.129717394E2,6.045111465E1,2.226326092E1,1.082669691E1,1.399999976E0,2.345000000E2,3.790092468E0,2.994514227E0
1.139714527E2,6.045110906E1,2.226323507E1,1.030968115E1,1.399999976E0,2.328000031E2,3.790092468E0,2.830896854E0
1.149710424E2,6.045110417E1,2.226320896E1,1.034613193E1,1.419999957E0,2.313999939E2,3.790092468E0,2.818864822E0
1.159719020E2,6.045109995E1,2.226318195E1,1.026478487E1,1.429999948E0,2.336999969E2,3.790092468E0,2.716560602E0
1.169718307E2,6.045109673E1,2.226315383E1,1.041543238E1,1.399999976E0,2.353999939E2,3.790092468E0,2.760351896E0
1.179718902E2,6.045109379E1,2.226312493E1,1.043833348E1,1.299999952E0,2.368999939E2,3.790092468E0,2.576276541E0
1.189717470E2,6.045109013E1,2.226309450E1,1.080553485E1,1.440000057E0,2.353000031E2,3.790092468E0,2.730463505E0
1.199714611E2,6.045108622E1,2.226306298E1,1.053314939E1,1.409999967E0,2.358000031E2,3.790092468E0,2.751141071E0
1.209714390E2,6.045108277E1,2.226303256E1,1.032668122E1,1.419999957E0,2.355000000E2,3.790092468E0,2.598310947E0
1.219712661E2,6.045107968E1,2.226300104E1,9.865391534E0,1.440000057E0,2.368000031E2,3.790092468E0,2.610143900E0
1.229714440E2,6.045107676E1,2.226296848E1,9.393054807E0,1.470000029E0,2.365000000E2,3.790092468E0,2.500000000E0
1.239714014E2,6.045107448E1,2.226293758E1,9.214113096E0,1.399999976E0,2.358000031E2,3.790092468E0,2.500000000E0
1.249714085E2,6.045107233E1,2.226290787E1,9.422255810E0,1.409999967E0,2.351000061E2,3.790092468E0,2.500000000E0
1.259710273E2,6.045107022E1,2.226287750E1,9.128323569E0,1.500000000E0,2.363999939E2,3.790092468E0,2.500000000E0
1.269712268E2,6.045106778E1,2.226284788E1,8.821329675E0,1.470000029E0,2.351999969E2,3.790092468E0,2.500000000E0
1.279713425E2,6.045106522E1,2.226281881E1,9.117362968E0,1.440000057E0,2.356000061E2,3.790092468E0,2.500000000E0
1.289713313E2,6.045106227E1,2.226278881E1,9.031621923E0,1.539999962E0,2.345000000E2,3.790092468E0,2.500000000E0
1.299712491E2,6.045105911E1,2.226275866E1,8.525165713E0,1.429999948E0,2.358000031E2,3.790092468E0,2.500000000E0
1.309710349E2,6.045105649E1,2.226272850E1,8.074800541E0,1.440000057E0,2.366999969E2,3.790092468E0,2.500000000E0
1.319718567E2,6.045105388E1,2.226269800E1,7.457077101E0,1.409999967E0,2.370000000E2,3.790092468E0,2.500000000E0
1.329714576E2,6.045105180E1,2.226266746E1,7.422239150E0,1.440000057E0,2.403000031E2,3.790092468E0,2.500000000E0
1.339711772E2,6.045104913E1,2.226263689E1,7.450878072E0,1.450000048E0,2.386000061E2,3.790092468E0,2.500000000E0
1.349714819E2,6.045104628E1,2.226260604E1,7.512842392E0,1.480000019E0,2.388999939E2,3.790092468E0,2.500000000E0
1.359712131E2,6.045104312E1,2.226257543E1,7.459206187E0,1.429999948E0,2.376999969E2,3.790092468E0,2.500000000E0
1.369710230E2,6.045103964E1,2.226254547E1,7.440543032E0,1.440000057E0,2.396000061E2,3.790092468E0,2.500000000E0
