"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.196997050E-1,-5.166971684E-1,1.093533993E0,-1.680635452E0
8.247305380E-1,-6.255808473E-1,8.162355423E-1,-1.449244976E0
8.297613720E-1,-7.328973413E-1,5.313403606E-1,-1.271574020E0
8.347922050E-1,-8.819760680E-1,2.718003988E-1,-1.170982361E0
8.398230380E-1,-9.820045233E-1,2.744483948E-2,-9.707851410E-1
8.448539240E-1,-1.046977639E0,-1.308530569E-1,-7.714233398E-1
8.498848090E-1,-1.008867621E0,-2.275227308E-1,-5.823736191E-1
8.549156940E-1,-8.563864827E-1,-2.103827000E-1,-3.988437653E-1
8.599465800E-1,-6.119008064E-1,-9.881699085E-2,-1.875524521E-1
8.649774650E-1,-3.267127275E-1,6.393992901E-2,4.652500153E-2
8.700083510E-1,-5.709467828E-2,2.445625067E-1,2.888984680E-1
8.750392360E-1,1.788470745E-1,4.240801334E-1,4.871015549E-1
8.800701220E-1,4.055002928E-1,5.787076950E-1,6.128053665E-1
8.851010070E-1,6.567388773E-1,7.325460911E-1,6.854314804E-1
8.901318920E-1,8.564379215E-1,8.810899258E-1,7.480974197E-1
8.951627780E-1,1.014665365E0,9.913055897E-1,8.722553253E-1
9.001936630E-1,1.155412436E0,1.101525664E0,1.024266243E0
9.052245490E-1,1.278629661E0,1.187885404E0,1.165944099E0
9.102554340E-1,1.379011035E0,1.217043281E0,1.287910461E0
9.152863190E-1,1.465151668E0,1.208233476E0,1.385605812E0
9.203172050E-1,1.406893730E0,1.104505062E0,1.473517418E0
9.253480900E-1,1.313267112E0,1.011491776E0,1.513608932E0
9.303789760E-1,1.240994811E0,9.721920490E-1,1.387098312E0
9.354098610E-1,1.127473950E0,9.103590250E-1,1.237752914E0
9.404407470E-1,9.243554473E-1,7.166041136E-1,1.232393265E0
9.454716320E-1,6.638327241E-1,3.484233022E-1,1.298828125E0
9.505025170E-1,3.687924147E-1,6.622135639E-3,1.436663628E0
9.555334030E-1,1.006764024E-1,-2.714760303E-1,1.674132347E0
9.605642880E-1,-1.840443313E-1,-5.107376575E-1,1.982157707E0
9.655951740E-1,-4.667220414E-1,-6.883808374E-1,2.341334343E0
9.706260590E-1,-6.808416843E-1,-8.150967360E-1,2.722836494E0
9.756569440E-1,-8.459860086E-1,-8.728859425E-1,3.136079788E0
9.806878300E-1,-9.859201908E-1,-8.057348132E-1,3.633318901E0
9.857187150E-1,-1.047144413E0,-6.153174639E-1,4.104640961E0
9.907498610E-1,-1.018932343E0,-3.842321634E-1,4.502647400E0
9.957809550E-1,-9.097371101E-1,-1.230253577E-1,4.813525200E0
1.000811840E0,-6.900548339E-1,1.908984780E-1,5.090250969E0
1.005842674E0,-3.552052975E-1,5.185822248E-1,5.342597961E0
1.010873507E0,6.528902054E-2,7.878735065E-1,5.508805275E0
1.015904340E0,4.651342630E-1,9.752603173E-1,5.594052315E0
1.020935174E0,8.288906217E-1,1.071875453E0,5.522472382E0
1.025966007E0,1.112339258E0,1.083623767E0,5.361469269E0
1.030996840E0,1.356184959E0,9.172717929E-1,4.977831841E0
1.036027674E0,1.577765703E0,6.331725717E-1,4.377129555E0
1.041058507E0,1.766834974E0,3.016124368E-1,3.612521172E0
1.046089340E0,1.919079781E0,-1.257306337E-2,2.837028503E0
1.051120174E0,1.973677635E0,-2.928904295E-1,2.102912903E0
